Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
36.3,593083376,17317,34248.6,31198.0,1453,3829397,210087.2,CUDA_API,cudaMemcpy
16.8,274660248,8624,31848.4,32704.0,23008,38368,3541.9,CUDA_KERNEL,"hysteresis_propagate_kernel(ImageView<int>, int *)"
12.3,200065658,69,2899502.3,2937640.0,2277991,3394249,268836.6,CUDA_KERNEL,background_removal_kernel(ImageView<rgb8>)
10.1,164096293,2,82048146.5,82048146.5,70242963,93853330,16695050.6,CUDA_API,cuCtxCreate_v2
6.0,97883949,2,48941974.5,48941974.5,48400579,49483370,765648.9,CUDA_API,cuCtxDestroy_v2
4.7,77329658,4,19332414.5,32249.0,27671,77237489,38603383.2,CUDA_API,cudaMallocPitch
3.0,49069077,208,235909.0,256342.0,3592,509318,172788.9,CUDA_API,cudaMemcpy2D
2.0,32901240,8900,3696.8,800.0,736,344577,25773.2,MEMORY_OPER,[CUDA memcpy Device-to-Host]
1.7,27058885,138,196078.9,253740.0,86151,544330,100533.5,CUDA_API,cuMemcpy2DAsync_v2
1.3,21094874,8697,2425.5,640.0,320,367713,21512.4,MEMORY_OPER,[CUDA memcpy Host-to-Device]
1.3,20470253,4,5117563.3,2676552.5,3292,15113856,7124589.9,CUDA_API,cudaMemcpyToSymbol
1.1,18349675,9296,1973.9,1705.0,1517,43610,957.9,CUDA_API,cudaLaunchKernel
0.9,15111176,1,15111176.0,15111176.0,15111176,15111176,0.0,CUDA_KERNEL,"init_rand_states(int, int, curandStateXORWOW *)"
0.6,9822617,69,142356.8,142336.0,142017,142976,180.7,CUDA_KERNEL,"erosion_kernel(ImageView<int>, ImageView<int>, int)"
0.6,9820885,69,142331.7,142336.0,141920,142688,154.8,CUDA_KERNEL,"dilatation_kernel(ImageView<int>, ImageView<int>, int)"
0.1,2429784,61,39832.5,26864.0,21249,213420,45523.0,CUDA_API,cuMemFree_v2
0.1,2384744,69,34561.5,34528.0,33633,35968,567.8,CUDA_KERNEL,"compute_difference_kernel(ImageView<rgb8>, ImageView<rgb8>, ImageView<int>)"
0.1,2074118,69,30059.7,30080.0,29376,30848,348.7,CUDA_KERNEL,"hysteresis_threshold_kernel(ImageView<int>, int, int, int *)"
0.1,1715649,69,24864.5,24096.0,23008,29376,1714.5,CUDA_KERNEL,"maskage_kernel(ImageView<rgb8>, ImageView<int>)"
0.1,1662020,69,24087.2,23872.0,22848,25697,743.6,CUDA_KERNEL,binarize_kernel(ImageView<int>)
0.1,1639717,69,23764.0,23616.0,22944,25248,538.4,CUDA_KERNEL,"count_pixels_kernel(ImageView<int>, int *)"
0.1,1611492,69,23355.0,23360.0,22880,23968,233.0,CUDA_KERNEL,hysteresis_cleanup_kernel(ImageView<int>)
0.1,1212993,70,17328.5,17280.0,17088,20160,363.2,MEMORY_OPER,[CUDA memcpy Device-to-Device]
0.1,832785,137,6078.7,2691.0,466,393739,34544.8,CUDA_API,cuStreamSynchronize
0.0,720883,65,11090.5,9187.0,1049,128851,15220.5,CUDA_API,cuMemsetD8Async
0.0,691146,83,8327.1,4251.0,1439,32008,6829.4,CUDA_API,cuLaunchKernel
0.0,625122,69,9059.7,9088.0,8256,9760,329.9,CUDA_KERNEL,ConvertNV12BLtoNV12
0.0,514146,135,3808.5,352.0,320,402593,34582.6,MEMORY_OPER,[CUDA memset]
0.0,322854,70,4612.2,3086.5,2449,8511,2188.7,CUDA_API,cudaMemset
0.0,294066,71,4141.8,2631.0,1230,15176,2989.1,CUDA_API,cuEventRecord
0.0,274372,1,274372.0,274372.0,274372,274372,0.0,CUDA_API,cuModuleLoadData
0.0,252057,59,4272.2,2917.0,2639,32303,5302.8,CUDA_API,cuStreamCreate
0.0,247393,7,35341.9,31688.0,20796,74468,17900.6,CUDA_API,cuArrayDestroy
0.0,222102,59,3764.4,2365.0,2039,20006,4582.3,CUDA_API,cuStreamDestroy_v2
0.0,205749,1,205749.0,205749.0,205749,205749,0.0,CUDA_API,cuModuleUnload
0.0,198145,50,3962.9,3952.0,3776,4096,57.2,CUDA_KERNEL,draw_border_kernel(ImageView<rgb8>)
0.0,159473,4,39868.3,45619.0,4516,63719,25383.5,CUDA_API,cudaMalloc
0.0,149702,64,2339.1,1457.5,296,15064,2997.4,CUDA_API,cuEventSynchronize
0.0,113420,2,56710.0,56710.0,49316,64104,10456.7,CUDA_API,cuMemAllocPitch_v2
0.0,57643,419,137.6,109.0,68,3063,183.3,CUDA_API,cuGetProcAddress_v2
0.0,49246,21,2345.0,1198.0,805,6914,1918.2,CUDA_API,cuSurfObjectCreate
0.0,49185,61,806.3,627.0,367,4318,753.6,CUDA_API,cuInit
0.0,36128,14,2580.6,2688.0,2016,3456,547.6,CUDA_KERNEL,MemsetD2D_BL
0.0,18166,21,865.0,502.0,211,8289,1710.3,CUDA_API,cuSurfObjectDestroy
0.0,9300,2,4650.0,4650.0,2171,7129,3505.8,CUDA_API,cuCtxSynchronize
0.0,5233,16,327.1,139.0,125,1529,447.1,CUDA_API,cuEventCreate
0.0,2744,16,171.5,128.5,110,708,145.2,CUDA_API,cuEventDestroy_v2
0.0,1652,14,118.0,77.5,55,626,147.7,CUDA_API,cuArrayGetPlane
0.0,159,1,159.0,159.0,159,159,0.0,CUDA_API,cuModuleGetLoadingMode
